Población	Tasa bruta	Tasa ajustada	LI	LS	
2	23,1118	17,5690	13,8018	22,5664	
6	10,7080	10,3981	8,6608	11,8928	
10	14,5693	15,7810	5,8324	35,2097	
14	11,5519	10,8769	7,5145	14,8775	
18	7,2004	8,1124	3,5974	16,2498	
22	11,7389	13,8504	7,6752	23,9592	
26	8,2138	9,3933	2,9733	23,0625	
30	11,6510	11,5246	6,5123	18,7880	
34	6,6641	8,0124	2,1281	21,1778	
38	2,6232	3,3597	0,5000	12,4367	
42	2,8136	2,5815	0,0000	15,3774	
50	7,1067	7,0589	3,7795	11,9205	
54	8,8186	11,1130	5,3065	20,5182	
58	7,6278	8,6509	2,7877	21,3100	
62	13,5490	14,7111	7,1055	27,0812	
66	4,9766	6,1243	2,1561	12,8774	
70	9,0571	9,8964	4,0781	20,8306	
74	9,9602	10,5561	3,5148	24,7446	
78	8,4117	8,8954	2,0000	34,1249	
82	13,6787	12,6037	9,0778	16,9155	
86	4,1309	5,0361	1,5000	13,0806	
90	4,7772	5,4990	2,0000	10,9081	
