Población	Casos Ob.	Casos Esp.	IME*	LI	LS	
2	71	43,3437	163,8070	127,9293	206,6232	
6	186	190,9865	97,3891	83,8948	112,4358	
10	6	3,9737	150,9944	55,1377	328,6581	
14	43	41,9099	102,6009	74,2453	138,2062	
18	8	10,4659	76,4386	32,9134	150,6222	
22	14	10,1814	137,5062	75,1131	230,7256	
26	5	5,6796	88,0346	28,3709	205,4404	
30	16	14,9168	107,2615	61,2698	174,1956	
34	4	5,3379	74,9364	20,1607	191,8513	
38	2	6,8595	29,1565	3,2746	105,2675	
42	1	4,1519	24,0851	0,3148	134,0038	
50	14	21,1407	66,2229	36,1744	111,1174	
54	11	10,2459	107,3599	53,5208	192,1083	
58	5	6,0532	82,6014	26,6199	192,7614	
62	10	7,5122	133,1165	63,7289	244,8208	
66	7	11,9085	58,7813	23,5497	121,1169	
70	7	7,5896	92,2320	36,9512	190,0410	
74	5	5,1366	97,3404	31,3698	227,1568	
78	3	2,7135	110,5582	22,2212	323,0275	
82	48	40,7814	117,7006	86,7759	156,0573	
86	4	8,5826	46,6061	12,5388	119,3205	
90	8	15,7014	50,9507	21,9387	100,3984	
